nb_links,length_url,length_hostname,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolon,nb_dollar,nb_www,nb_com,nb_dslash,ratio_digits_url,is_phish
2,138,40,4,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,2,0,0.782608696,1
4,312,276,16,8,0,0,0,0,0,0,0,12,0,4,0,0,0,0,4,0,0.46153846,1
8,216,144,16,0,0,0,0,0,0,0,0,24,0,8,0,0,0,8,0,0,0,0
2,58,36,4,0,0,0,0,0,0,0,0,8,0,2,0,0,0,2,2,0,0,1
4,292,64,20,0,0,4,0,0,4,0,0,28,0,8,0,0,0,4,4,4,0.493150684,1
1,75,18,3,0,1,1,0,0,1,0,0,5,0,1,0,0,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,381,150,12,3,0,3,6,0,9,0,0,15,0,3,0,0,0,0,6,0,0.448818897,1
7,525,119,21,0,0,0,0,0,0,0,0,49,0,7,0,0,0,7,7,0,0,0
13,468,91,13,13,0,0,0,0,0,0,0,52,0,13,0,0,0,0,0,0,0,0
11,264,165,22,0,0,0,0,0,0,0,0,33,0,11,0,0,0,11,11,0,0,0
7,406,112,14,0,0,0,0,0,0,0,0,28,0,7,0,0,0,0,0,0,0.120689653,0
3,426,102,6,6,0,3,0,0,3,0,0,21,0,9,0,0,0,0,3,0,0.084507042,1
23,1541,483,46,92,0,0,0,0,0,0,0,69,0,23,0,0,0,0,0,0,0,0
4,168,76,12,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,4,0,0,1
4,208,64,8,0,0,4,0,0,4,0,4,12,0,4,0,0,0,4,4,0,0.46153846,1
20,1900,240,40,140,0,0,0,0,0,0,0,120,0,20,0,0,0,20,0,0,0,0
15,735,360,45,0,0,0,0,0,0,0,0,45,0,15,0,0,0,15,0,0,0,0
2,202,30,4,2,0,0,0,0,0,0,0,14,0,2,0,0,0,0,2,0,0.217821782,1
12,972,372,24,48,0,0,0,0,0,0,0,48,0,12,0,0,0,0,12,0,0,0
2,264,32,6,0,0,2,0,0,2,0,0,8,0,2,0,0,0,0,2,0,0.06060606,1
27,810,594,54,0,0,0,0,0,0,0,0,54,0,27,0,0,0,27,0,0,0,0
23,713,391,23,0,0,0,0,0,0,0,0,92,0,23,0,0,0,0,23,0,0,0
11,506,176,22,0,0,0,0,0,0,0,0,44,0,11,0,0,0,0,0,0,0,0
6,468,102,6,42,0,0,0,0,0,0,0,36,0,6,0,0,0,0,0,0,0.53846154,0
21,441,273,42,0,0,0,0,0,0,0,0,63,0,21,0,0,0,21,0,0,0,0
2,104,22,6,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0.153846154,1
11,814,154,44,11,0,11,0,0,11,0,44,33,0,11,0,0,0,11,22,0,1.635135139,0
4,432,100,16,4,4,4,0,0,0,0,4,24,0,4,0,0,0,4,8,0,0.148148148,1
3,375,150,12,3,0,3,6,0,9,0,0,12,0,3,0,0,0,0,6,0,0.576,1
8,136,72,8,0,0,0,0,0,0,0,0,24,0,8,0,0,0,0,0,0,0,0
14,602,196,28,0,0,0,0,0,0,0,0,56,0,14,0,0,0,14,14,0,0,0
6,108,66,6,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0
5,300,90,20,0,0,0,0,0,0,0,0,35,0,5,0,0,0,0,0,0,0.75,0
3,141,81,6,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,3,0,0.255319149,1
2,518,26,12,0,0,2,0,0,0,0,0,10,0,2,0,0,0,2,6,0,0.362934362,1
11,550,176,22,0,0,0,0,0,0,0,0,44,0,11,0,0,0,0,11,0,0,0
3,339,45,6,9,0,3,0,0,3,0,0,21,0,3,0,0,0,0,3,0,0.159292035,1
4,240,84,12,4,0,0,0,0,0,0,0,24,0,4,0,0,0,4,4,0,0,1
3,117,75,6,0,0,0,0,0,0,0,0,12,0,3,0,0,0,3,3,0,0,1
3,117,90,6,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,3,0,0,1
24,600,384,48,0,0,0,0,0,0,0,0,72,0,24,0,0,0,24,24,0,0,0
2,72,58,4,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0.055555556,1
2,98,20,6,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,4,0,0,1
11,495,121,22,0,0,0,0,0,0,0,0,44,0,11,0,0,0,0,0,0,0,0
28,1764,588,56,28,0,0,0,0,0,0,0,196,0,28,0,0,0,0,0,0,0,0
28,868,532,56,0,0,0,0,0,0,0,0,112,0,28,0,0,0,0,0,0,0,0
27,702,513,54,0,0,0,0,0,0,0,0,54,0,27,0,0,0,0,27,0,0,0
2,80,30,4,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
2,160,144,4,4,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1
8,192,128,16,0,0,0,0,0,0,0,0,24,0,8,0,0,0,8,8,0,0,0
2,78,44,4,0,0,0,0,0,0,0,0,10,0,2,0,0,0,2,2,0,0,1
4,252,44,8,12,0,0,0,0,0,0,0,24,0,4,0,0,0,0,4,0,0,1
26,1508,650,78,78,0,0,0,0,0,0,0,78,0,26,0,0,0,26,26,0,0,0
25,1050,450,50,50,0,0,0,0,0,0,0,75,0,25,0,0,0,0,25,0,0,0
2,130,86,4,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,2,0,0.153846154,1
2,122,54,6,2,0,0,0,0,0,0,0,10,0,2,0,0,0,0,2,0,0.262295082,1
4,436,80,12,4,0,0,0,0,0,0,0,36,0,4,0,0,0,0,0,0,0.7706422,1
4,1616,44,8,4,0,8,0,0,12,0,0,24,0,4,0,0,0,0,4,0,0.485148516,1
30,690,480,60,30,0,0,0,0,0,0,0,60,0,30,0,0,0,0,0,0,0,0
4,396,100,8,8,0,4,0,0,0,0,0,24,0,12,0,0,0,0,4,0,0.12121212,1
16,512,368,32,0,0,0,0,0,0,0,0,48,0,16,0,0,0,16,16,0,0,0
3,258,51,12,15,0,0,0,0,0,0,0,27,0,3,0,0,0,0,0,0,0,1
5,305,105,15,0,0,0,0,0,0,0,0,25,0,5,0,0,0,5,0,0,0,0
21,609,441,42,0,0,0,0,0,0,0,0,63,0,21,0,0,0,21,21,0,0,0
2,58,32,2,2,0,0,0,0,0,0,0,8,0,2,0,0,0,0,2,0,0,1
6,294,150,12,0,0,0,0,0,0,0,0,18,0,6,0,0,0,6,6,0,0,0
13,364,247,26,0,0,0,0,0,0,0,0,39,0,13,0,0,0,0,0,0,0,0
3,225,42,3,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,3,0,0.759999999,1
2,84,66,4,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,2,0,0,1
4,288,124,12,12,0,0,0,0,0,0,0,20,0,4,0,0,0,0,4,0,0,1
18,702,324,54,0,0,0,0,0,0,0,0,54,0,18,0,0,0,18,18,0,0,0
1,135,21,2,1,0,1,0,0,3,0,0,6,0,1,0,0,0,1,1,0,0.207407407,1
21,1029,462,42,21,0,0,0,0,0,0,0,63,0,21,0,0,0,21,21,0,0,0
1,26,17,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1
4,80,44,4,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,4,0,0,1
9,234,153,18,0,0,0,0,0,0,0,0,27,0,9,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,899,667,58,0,0,0,0,0,0,0,0,87,0,29,0,0,0,29,29,0,0,0
3,117,72,6,0,0,0,0,0,0,0,0,12,0,3,0,0,0,3,3,0,0,1
22,1848,704,44,110,0,0,0,0,0,0,0,110,0,22,0,0,0,22,22,0,0,0
2,316,78,4,4,0,2,2,0,4,0,0,14,0,8,0,2,0,0,2,0,0.11392405,1
17,697,221,34,34,0,0,0,0,0,0,0,51,0,17,0,0,0,17,17,0,0.829268296,0
4,196,84,4,4,0,4,0,0,4,0,0,16,0,4,0,0,0,0,4,0,0,1
14,434,308,28,0,0,0,0,0,0,0,0,42,0,14,0,0,0,14,14,0,0,0
12,540,444,24,0,0,0,0,0,0,0,0,36,0,12,0,0,0,0,12,0,0,0
2,170,36,8,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,2,0,0.870588236,1
1,63,38,5,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1
4,612,48,20,0,0,8,24,0,36,0,0,20,0,4,0,0,0,0,4,0,0.993464052,1
9,540,153,18,18,0,0,0,0,0,0,0,63,0,9,0,0,0,9,9,0,0.299999997,0
4,164,100,12,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,4,0,0.097560976,1
16,416,288,16,0,0,0,0,0,0,0,0,32,0,16,0,0,0,0,0,0,0,0
17,731,289,51,34,0,0,0,0,0,0,0,51,0,17,0,0,0,17,0,0,0,0
3,87,60,6,0,0,0,0,0,0,0,0,9,0,3,0,0,0,3,0,0,0,1
1,142,25,5,0,0,1,0,0,1,0,2,3,0,1,0,0,0,0,1,0,0.126760563,1
3,144,48,9,0,0,0,0,0,0,0,0,15,0,3,0,0,0,3,3,0,0,1
4,148,72,8,0,0,0,0,0,0,0,0,12,0,4,0,0,0,4,4,0,0,1
11,363,165,22,0,0,0,0,0,0,0,0,33,0,11,0,0,0,0,0,0,0,0
3,183,90,9,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,3,0,0.393442623,1
14,392,266,42,0,0,0,0,0,0,0,0,42,0,14,0,0,0,14,0,0,0,0
24,768,336,48,0,0,0,0,0,0,0,0,96,0,24,0,0,0,0,0,0,3,0
10,260,170,20,0,0,0,0,0,0,0,0,30,0,10,0,0,0,10,10,0,0,0
17,816,289,51,34,0,0,0,0,0,0,0,51,0,17,0,0,0,17,17,0,0,0
4,476,168,16,0,0,4,8,0,12,0,0,20,0,4,0,0,0,0,8,0,0.638655464,1
3,186,30,3,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,3,0,0.967741935,1
1,61,12,4,0,0,1,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0.147540984,1
19,418,247,38,0,0,0,0,0,0,0,0,57,0,19,0,0,0,19,0,0,0,0
7,553,112,14,56,0,0,0,0,0,0,0,21,0,7,0,0,0,7,7,0,0,0
5,225,85,10,15,0,0,0,0,0,0,0,20,0,5,0,0,0,5,5,0,0,0
19,817,285,38,0,0,19,0,0,19,0,0,57,0,19,0,0,0,19,19,0,0.883720932,0
2,64,40,4,0,0,0,0,0,0,0,0,8,0,2,0,0,0,2,2,0,0.1875,1
27,648,459,54,0,0,0,0,0,0,0,0,54,0,27,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,184,72,4,4,0,0,0,0,0,0,0,28,0,4,0,0,0,0,4,0,0,1
28,1120,532,56,0,0,0,0,0,0,0,0,84,0,28,0,0,0,28,28,0,0,0
2,100,44,4,2,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
20,800,280,40,40,0,0,0,0,0,0,0,80,0,20,0,0,0,20,20,0,0.5,0
25,1475,500,75,0,0,0,0,0,0,0,0,100,0,25,0,0,0,25,0,0,0,0
20,600,420,40,0,0,0,0,0,0,0,0,60,0,20,0,0,0,20,20,0,0,0
3,78,30,3,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0.115384614,1
24,504,288,48,0,0,0,0,0,0,0,0,72,0,24,0,0,0,24,24,0,0,0
30,1680,600,90,0,0,0,0,0,0,0,0,90,0,30,0,0,0,30,0,0,0,0
30,600,360,60,0,0,0,0,0,0,0,0,90,0,30,0,0,0,30,0,0,0,0
1,31,22,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1
3,141,51,3,0,0,3,0,0,3,0,0,9,0,3,0,0,0,0,3,0,0.255319149,1
3,144,36,3,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,1
4,220,188,16,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,4,0,1.163636364,1
2,114,96,8,6,0,0,0,0,0,0,0,6,0,2,0,0,0,0,2,0,0.315789474,1
29,1218,464,58,0,0,0,0,0,0,0,0,116,0,29,0,0,0,29,29,0,0,0
8,200,128,16,0,0,0,0,0,0,0,0,24,0,8,0,0,0,8,8,0,0,0
15,240,135,15,0,0,0,0,0,0,0,0,30,0,15,0,0,0,0,0,0,0,0
22,792,638,44,22,0,0,0,0,0,0,0,44,0,22,0,0,0,0,22,0,0,0
17,527,374,51,0,0,0,0,0,0,0,0,51,0,17,0,0,0,17,17,0,0,0
13,533,208,39,0,0,0,0,0,0,0,0,52,0,13,0,0,0,13,0,0,2.219512191,0
4,232,64,12,0,0,4,0,0,4,0,0,16,0,4,0,0,0,0,8,0,0.137931036,1
1,47,21,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0.042553191,1
8,368,120,16,0,0,0,0,0,0,0,0,32,0,8,0,0,0,8,8,0,0,0
3,471,63,12,15,3,0,6,0,3,0,0,9,0,3,0,0,0,3,0,0,1.089171975,1
23,874,667,46,0,0,0,0,0,0,0,0,69,0,23,0,0,0,0,23,0,0,0
4,304,100,8,8,0,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0.315789472,1
29,870,377,58,29,0,0,0,0,0,0,0,87,0,29,0,0,0,29,29,0,0,0
5,445,150,20,25,0,0,0,0,0,0,0,25,0,5,0,0,0,0,5,0,0.33707865,0
26,754,572,52,0,0,0,0,0,0,0,0,52,0,26,0,0,0,0,0,0,0,0
2,66,22,4,0,0,2,0,0,0,0,0,8,0,2,0,0,0,0,2,0,0,1
27,1836,810,54,81,0,0,0,0,0,0,0,108,0,27,0,0,0,0,27,0,0,0
8,432,152,24,0,0,0,0,0,0,0,0,24,0,8,0,0,0,8,8,0,0,0
28,532,336,56,0,0,0,0,0,0,0,0,56,0,28,0,0,0,28,0,0,0,0
13,1560,169,39,117,0,0,0,0,0,0,0,130,0,13,0,0,0,13,13,0,1.3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,198,117,18,0,0,0,0,0,0,0,0,27,0,9,0,0,0,9,9,0,0,0
4,140,72,8,0,0,0,0,0,0,0,0,16,0,4,0,0,0,4,4,0,0,1
1,41,33,3,2,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,1
3,120,96,12,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0.375,1
19,608,437,38,0,0,0,0,0,0,0,0,57,0,19,0,0,0,19,19,0,0,0
6,180,132,12,0,0,0,0,0,0,0,0,18,0,6,0,0,0,0,6,0,0,0
8,528,184,24,32,0,0,0,0,0,0,0,24,0,8,0,0,0,0,8,0,0.606060608,0
4,236,76,4,4,0,0,0,0,0,0,0,24,0,4,0,0,0,0,4,0,0,1
30,810,540,30,0,0,0,0,0,0,0,0,90,0,30,0,0,0,0,0,0,0,0
10,410,160,20,0,0,0,0,0,0,0,0,40,0,10,0,0,0,0,0,0,0,0
8,704,112,16,72,0,0,0,0,0,0,0,40,0,8,0,0,0,8,8,0,0,0
17,2125,340,34,136,0,0,0,0,0,0,0,102,0,17,0,0,0,17,17,0,0,0
2,64,46,4,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,2,0,0,1
3,78,54,3,3,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,1
1,41,33,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,450,330,30,0,0,0,0,0,0,0,0,45,0,15,0,0,0,15,15,0,0,0
27,1512,432,54,0,0,0,0,0,0,0,0,108,0,27,0,0,0,0,0,0,0,0
21,861,273,63,21,0,0,0,0,0,0,0,84,0,21,0,0,0,21,0,0,3.585365847,0
2,104,46,6,0,0,2,0,0,2,0,0,8,0,2,0,0,0,0,0,0,0.384615384,1
22,902,440,66,0,0,0,0,0,0,0,0,66,0,22,0,0,0,22,44,0,0,0
4,224,120,8,8,0,0,0,0,0,0,0,16,0,4,0,0,0,0,4,0,0,1
2,108,44,8,0,0,0,0,0,0,0,0,12,0,2,0,0,0,2,2,0,0,1
4,228,160,12,8,0,0,0,0,0,0,0,12,0,4,0,0,0,0,4,0,0.350877192,1
7,231,112,14,0,0,0,0,0,0,0,0,28,0,7,0,0,0,0,0,0,0,0
23,1150,345,69,0,0,0,0,0,0,0,0,115,0,23,0,0,0,23,23,0,2.76,0
3,210,63,6,9,0,0,0,0,0,0,0,15,0,3,0,0,0,0,6,0,0,1
4,164,88,8,0,0,0,0,0,0,0,0,20,0,4,0,0,0,4,4,0,0,1
2,56,38,4,2,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1
1,89,43,2,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1
4,76,16,4,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,1
2,282,72,4,4,0,2,0,0,2,0,0,14,0,6,0,0,0,0,2,0,0.09929078,1
3,549,66,12,3,0,3,21,0,24,0,0,15,0,6,0,21,0,3,6,3,0.245901639,1
15,600,210,15,0,0,0,0,0,0,0,0,60,0,15,0,0,0,0,15,0,0,0
13,351,234,26,0,0,0,0,0,0,0,0,39,0,13,0,0,0,13,13,0,0,0
14,532,252,28,0,0,0,0,0,0,0,0,56,0,14,0,0,0,14,14,0,0,0
1,28,20,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1
3,126,57,6,6,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,1
27,621,405,54,27,0,0,0,0,0,0,0,81,0,27,0,0,0,27,0,0,0,0
4,524,216,20,4,0,4,8,0,12,0,0,16,0,4,0,0,0,4,8,0,0.54961832,1
7,399,84,21,0,0,0,0,0,0,0,0,42,0,7,0,0,0,7,7,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,208,76,8,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,4,0,0.076923076,1
4,116,68,8,0,0,0,0,0,0,0,0,16,0,4,0,0,0,4,0,0,0,1
4,824,84,12,0,0,4,24,0,28,0,0,12,0,4,0,24,0,0,4,0,1.300970872,1
19,988,304,38,0,0,0,0,0,0,0,0,76,0,19,0,0,0,0,0,0,0,0
1,28,20,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0.071428571,1
12,420,168,24,0,0,0,0,0,0,0,0,48,0,12,0,0,0,12,12,0,0,0
2,126,44,2,4,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,1
3,192,117,15,9,0,0,0,0,0,0,0,12,0,3,0,0,0,0,3,0,0.046875,1
4,200,76,12,0,0,0,0,0,0,0,0,20,0,4,0,0,0,4,4,0,0,1
8,712,120,16,56,0,0,0,0,0,0,0,56,0,8,0,0,0,8,8,0,0.898876408,0
4,476,48,16,8,0,0,0,0,0,0,0,32,0,4,0,0,0,4,12,0,0.87394958,1
1,47,20,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1
2,88,56,4,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,2,0,0,1
1,203,18,8,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,1
8,264,96,16,0,0,8,0,0,0,0,0,24,0,8,0,0,0,8,8,0,1.696969696,0
2,128,46,4,4,0,0,0,0,0,0,0,10,0,2,0,0,0,0,2,0,0.28125,1
10,330,110,10,0,0,0,0,0,0,0,0,30,0,10,0,0,0,0,10,0,0,0
3,204,126,15,9,0,0,0,0,0,0,0,12,0,3,0,0,0,0,3,0,0.176470587,1
9,369,288,18,0,0,0,0,0,0,0,0,27,0,9,0,0,0,0,9,0,0,0
25,675,450,50,0,0,0,0,0,0,0,0,75,0,25,0,0,0,25,0,0,0,0
19,1159,399,76,0,0,19,0,0,19,0,0,76,0,19,0,0,0,19,19,0,1.868852464,0
19,399,266,19,0,0,0,0,0,0,0,0,38,0,19,0,0,0,0,0,0,0,0
12,348,240,36,0,0,0,0,0,0,0,0,36,0,12,0,0,0,12,12,0,0,0
2,304,48,8,8,0,2,0,0,4,0,0,24,0,4,0,0,0,2,2,2,0.25,1
3,162,108,6,9,0,3,0,0,0,0,0,9,0,3,0,0,0,0,3,0,0,1
1,79,28,4,1,0,0,0,0,1,0,0,4,0,1,4,0,0,0,1,0,0.265822785,1
5,335,45,5,0,0,0,0,0,0,0,0,30,0,5,0,0,0,0,0,0,0,0
4,160,124,16,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,4,0,1,1
16,928,256,32,0,0,0,0,0,0,0,0,64,0,32,0,0,0,0,0,0,0,0
30,1560,630,60,60,0,0,0,0,0,0,0,120,0,30,0,0,0,30,30,0,0,0
16,848,352,32,16,0,0,0,0,0,0,0,48,0,16,0,0,0,16,16,0,0,0
12,516,228,36,0,0,0,0,0,0,0,0,48,0,12,0,0,0,12,12,0,0,0
3,84,30,9,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0.75,1
3,132,87,9,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,3,0,0.136363635,1
4,516,216,20,4,0,4,8,0,12,0,0,20,0,4,0,0,0,4,8,0,0.372093024,1
21,840,651,42,0,0,0,0,0,0,0,0,63,0,21,0,0,0,21,21,0,0,0
4,496,184,20,0,0,4,8,0,12,0,0,20,0,4,0,0,0,4,8,0,0.903225808,1
3,141,39,6,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,3,0,0,1
3,186,81,3,3,0,0,0,0,0,0,0,15,0,3,0,0,0,0,3,0,0,1
7,168,112,21,0,0,0,0,0,0,0,0,21,0,7,0,0,0,7,0,0,0,0
2,248,92,10,0,0,2,4,0,6,0,0,10,0,2,0,0,0,2,4,0,0.258064516,1
1,102,20,2,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,1,0,0.019607843,1
16,1200,304,48,96,0,0,0,0,0,0,0,48,0,16,0,0,0,0,0,0,0.853333328,0
4,236,148,8,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,4,0,0.54237288,1
3,177,51,9,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,3,0,0.20338983,1
3,117,90,6,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,3,0,0,1
13,403,221,26,0,0,0,0,0,0,0,0,52,0,13,0,0,0,13,0,0,0,0
22,814,308,44,0,0,0,0,0,0,0,0,88,0,22,0,0,0,22,22,0,0,0
